Part,Quantity,Cost(per 1),Cost,Printing Time (hrs),Total Printing Time(hrs),Supplier,URL
2020 Extrusion (900mm),2,3.6,7.2,N/A,N/A,OOZNEST,https://ooznest.co.uk/product/v-slot-linear-rail-20x20mm-cut-to-size/
2020 Extrusion (240mm),3,1.73,5.19,N/A,N/A,OOZNEST,https://ooznest.co.uk/product/v-slot-linear-rail-20x20mm-cut-to-size/
90 Degree Cast Corner,10,1.5,15,N/A,N/A,OOZNEST,https://ooznest.co.uk/product/90-degree-cast-corner/
Drop in Tee Nuts - M4,60,0.2,12,N/A,N/A,OOZNEST,https://ooznest.co.uk/product/drop-in-tee-nuts/
Bolts - M4 x 16 mm,8,0.19,1.52,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/383691428657
Bolts - M4 x 10 mm,42,0.18,7,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/383691428657
Bolts - M4 x 16mm (Domed),12,0.2,2.4,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/383644090894
Bearings - 15mmx32mmx9mm,6,1.75,10.5,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/283138769685?var=583553237304
GT2 Pulley - 20 Tooth 8mm Bore,2,2.89,5.78,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/283138769685?var=583553237304
GT2 Pulley - 60 Tooth 8mm Bore,2,5.75,11.5,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/283138769685?var=583553237304
GT2 Timing Belt,2,4.25,8.5,N/A,N/A,Ebay,https://www.ebay.co.uk/itm/223461492884?var=522579257524
Motors,2,7.57,15.14,N/A,N/A,Maxodeals,https://www.maxodeals.com/mdenglish/dunkermotoren-plg24-nmp
Copper Pipe - 15mm x 150mm ,2,0.52,1.04,N/A,N/A,Screwfix,https://www.screwfix.com/p/wednesbury-copper-pipe-15mm-x-3m/98683
Copper Pipe - 15mm x 320mm ,2,1.12,2.24,N/A,N/A,Screwfix,https://www.screwfix.com/p/wednesbury-copper-pipe-15mm-x-3m/98683
Copper Pipe Lagging - 60mm x 220mm,2,0.18,0.36,N/A,N/A,Screwfix,https://www.screwfix.com/p/economy-pipe-insulation-22-x-13mm-x-1m/91078
Bearing Mounts,4,,0,,0,3D Printed,N/A
Conveyor Holder,2,2.87,5.74,4.12,8.24,3D Printed,N/A
Conveyor Lagging Holders,4,0.38,1.52,0.6,2.4,3D Printed,N/A
Top Plate Spacers,6,0.13,0.78,0.2,1.2,3D Printed,N/A
Pipe Retention Clip,2,0.13,0.26,0.24,0.48,3D Printed,N/A
Motor to Pulley Adaptor,2,0.02,0.04,0.78,1.56,3D Printed,N/A
Motor Mount Holder,2,0.19,0.38,0.32,0.64,3D Printed,N/A
Motor Mount,2,0.37,0.74,1.54,3.08,3D Printed,N/A
Pipe to Pulley Adaptor,2,0.14,0.28,1.31,2.62,3D Printed,N/A
Conveyor Spacer,2,0.2,0.4,0.33,0.66,3D Printed,N/A
Conveyor Bungee Holder,2,,0,,0,,
,,,,,,,
Total,187,,115.51,,,,
,,,,,,,
Total Printed Parts ,28,,,,,,
Total Printing Time (hrs),20.88,,,,,,
Total Printing Cost,10.14,,,,,,
