Part,Quantity,Cost(per 1),Cost, Supplier, URL
Colection Box,2,,0,,
Side Panel Inside,2,,0,,
Back Panel Inside,1,,0,,
Front Panel Inside,1,,0,,
Base Panel,1,,0,,
Filter,2,1.1225,2.245,,
8mm bolts,10,,0,,
4mm bolts - 16mm (Domed),50,,0,,
4mm bolts - 16mm ,8,,0,,
O-Ring seals,50,,0,,
Rivnuts (4mm),,,0,,
Rivnuts (8mm),10,,0,,
Support Strut,10,,0,3D Printed,
Filter Holder,8,,0,3D Printed,
Filter Assembly Holder,8,,0,3D Printed,
Motor Mount,2,,0,3D Printed,
Motor Fittings,2,,0,3D Printed,
