Part,Quantity,Cost(per 1),Cost,Printing Time (hrs),Total Printing Time(hrs),Supplier,URL
Colection Box,2,,0,N/A,N/A,,
Side Panel Inside,2,,0,N/A,N/A,,
Back Panel Inside,1,,0,N/A,N/A,,
Front Panel Inside,1,,0,N/A,N/A,,
Base Panel,1,,0,N/A,N/A,,
Filter,2,1.1225,2.245,N/A,N/A,,
8mm bolts,10,,0,N/A,N/A,,
4mm bolts - 16mm (Domed),50,,0,N/A,N/A,,
4mm bolts - 16mm ,8,,0,N/A,N/A,,
O-Ring seals,50,,0,N/A,N/A,,
Rivnuts (4mm),50,,0,N/A,N/A,,
Rivnuts (8mm),10,,0,N/A,N/A,,
Support Strut,10,,0,,0,3D Printed,N/A
Filter Holder,8,,0,,0,3D Printed,N/A
Filter Assembly Holder,8,,0,,0,3D Printed,N/A
Motor Mount,2,,0,,0,3D Printed,N/A
Motor Fittings,2,,0,,0,3D Printed,N/A
,,,,,,,
,,,,,,,
Total,217,,2.245,,,,
,,,,,,,
Total Printed Parts ,30,,,,,,
Total Printing Time (hrs),0,,,,,,
Total Printing Cost,0,,,,,,
