Comment,Designator,Footprint,JLCPCB Part#
SOT-23,"Q1,Q2,Q3",SOT-23,C6749
GREEN,D1,0603,C72043
B5817W-5819W,"D2,D6",,C8598
YELLOW,"D3,D4",0603,C72038
BLUE,"D5,D7",0603,C72041
39K,R8,0603,C23153
2K2,"R1,R11,R13,R14,R19,R24,R28,R20",0603,C4190
10K,"R10,R12,R15,R16,R21,R26",0603,C25804
100K,"R17,R18",0603,C25803
620,"R2,R3,R4,R5",0603,C23220
4K7,"R9,R6,R30",0603,C23162
LM358DR2G,U4,SOIC-8,C7950
35WR100KLFTR,RV1,35WR100KLFTR,C128550
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C12,C13",0603,C14663
1K,"R29,R31",0603,C21190
