Designator,Mid X,Mid Y,Layer,Rotation
C1,117.3115mm,-132.1097mm,Top,-90
C2,147.32mm,-88.9mm,Top,-90
C3,128.27mm,-115.0855mm,Top,-90
C4,116.0071mm,-101.6mm,Top,90
C5,182.88mm,-114.3mm,Top,90
C6,187.5983mm,-104.14mm,Top,90
C7,132.08mm,-91.44mm,Top,-90
C8,129.54mm,-91.44mm,Top,90
C9,124.26mm,-134.62mm,Top,-90
C12,147.7401mm,-94.032mm,Top,0
C13,144.78mm,-88.9mm,Top,90
D1,182.0555mm,-146.1485mm,Top,0
D2,144.78mm,-73.66mm,Top,0
D3,139.0650mm,-137.7950mm,Top,90
D4,124.46mm,-55.0925mm,Top,90
D5,129.54mm,-55.0025mm,Top,90
D6,129.54mm,-76.2mm,Top,180
D7,111.76mm,-71.12mm,Top,90
Q1,177.8mm,-142.24mm,Top,0
Q2,185.42mm,-132.08mm,Top,180
Q3,113.03mm,-79.375mm,Top,0
R1,181.9946mm,-142.016mm,Top,0
R2,130.81mm,-116.84mm,Top,0
R3,119.38mm,-101.6mm,Top,-90
R4,181.165mm,-111.6046mm,Top,180
R5,185.42mm,-100.8274mm,Top,180
R6,177.2232mm,-137.3677mm,Top,-90
R8,120.65mm,-135.3mm,Top,90
R9,181.3789mm,-137.3104mm,Top,90
R10,185.42mm,-142.24mm,Top,0
R11,190.5mm,-93.98mm,Top,180
R12,190.5mm,-99.06mm,Top,0
R13,190.5mm,-83.82mm,Top,180
R14,190.5mm,-73.66mm,Top,180
R15,190.5mm,-88.9mm,Top,0
R16,190.5mm,-78.74mm,Top,0
R17,127mm,-133.35mm,Top,90
R18,127mm,-137.16mm,Top,90
R19,116.84mm,-58.42mm,Top,0
R20,139.065,-140.97mm,Top,90
R21,116.84mm,-63.5mm,Top,0
R24,175.26mm,-57.2356mm,Top,-90
R26,170.18mm,-57.1759mm,Top,90
R28,124.46mm,-58.42mm,Top,90
R29,129.54mm,-58.42mm,Top,90
R30,117.1728mm,-79.351mm,Top,-90
R31,111.7604mm,-74.7777mm,Top,90
RV1,120.4239mm,-130.8774mm,Top,90
U4,132.7150mm,-133.9850mm,Top,-90
