Comment,Designator,Footprint,JLCPCB Part#
BLUE,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D17",603,C72041
YELLOW,"D13,D18",603,C72038
GREEN,"D11,D12,D19",603,C72043
SOT-23,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14",SOT-23,C6749
B5817W-5819W,,,C8598
1M,"R38,R39",603,C22935
10K,"R14,R18,R22,R23,R28,R33,R34,R37,R43,R46,R48,R51,R52,R53",603,C25803
4k7,"R1,R3,R5,R7,R9,R11,R19,R25,R29,R42,R44,R45,47",603,C23162
47K,"R35,R36",603,C25819
LM358DR2G,U2,SOP-8,C7950
1K,"R2,R4,R6,R8,R10,R12,R13,R16,R17,R20,R21,R24,R26,R27,30,R31,R32,30,41,R49,50",603,C21190
1N5817M,"D14,D15,D16",SOD-123,C8598
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11",603,C14663
50K,"RV1,RV2",VG039NCHXT,C145161
