# Ref     Val               Package                                   PosX       PosY       Rot  Side
C1        100nF             C_0603_1608Metric                     158.1150   -73.6600   90.0000  top
C2        100nF             C_0603_1608Metric                     137.0850   -73.7800  -90.0000  top
C3        100nF             C_0603_1608Metric                     149.5662   -73.6341    0.0000  top
C4        100nF             C_0603_1608Metric                     145.0219   -73.7106  180.0000  top
C5        100nF             C_0603_1608Metric                     163.1950   -57.7850   90.0000  top
C6        100nF             C_0603_1608Metric                     157.0217   -68.1118    0.0000  top
C7        100nF             C_0603_1608Metric                     146.6195   -68.1004    0.0000  top
C8        100nF             C_0603_1608Metric                     136.4800   -68.1004    0.0000  top
C9        100nF             C_0603_1608Metric                     152.3403   -65.4448   90.0000  top
C10       100nF             C_0603_1608Metric                     142.0007   -65.3255   90.0000  top
C11       100nF             C_0603_1608Metric                     131.4450   -64.7700   90.0000  top
D1        BLUE              D_0603_1608Metric                     137.7950  -116.8400  -90.0000  top
D2        BLUE              D_0603_1608Metric                     153.0350  -116.8400  -90.0000  top
D3        BLUE              D_0603_1608Metric                     154.9400  -116.8400  -90.0000  top
D4        BLUE              D_0603_1608Metric                     151.1300  -116.8400  -90.0000  top
D5        BLUE              D_0603_1608Metric                     149.2250  -116.8400  -90.0000  top
D6        BLUE              D_0603_1608Metric                     147.3200  -116.8400  -90.0000  top
D7        BLUE              D_0603_1608Metric                     145.4150  -116.8400  -90.0000  top
D8        BLUE              D_0603_1608Metric                     143.5100  -116.8400  -90.0000  top
D9        BLUE              D_0603_1608Metric                     141.6050  -116.8400  -90.0000  top
D10       BLUE              D_0603_1608Metric                     139.7000  -116.8400  -90.0000  top
D11       GREEN             D_0603_1608Metric                     186.9440  -145.2880   90.0000  top
D12       GREEN             D_0603_1608Metric                     149.8600   -81.9150   90.0000  top
D13       YELLOW            D_0603_1608Metric                     144.7800   -81.9150   90.0000  top
D14       1N5817            SOD-123                               157.0391   -65.4050  180.0000  top
D15       1N5817            SOD-123                               146.6850   -65.4050  180.0000  top
D16       1N5817            SOD-123                               136.5250   -65.4050  180.0000  top
D17       BLUE              D_0603_1608Metric                     122.9385   -78.1050   90.0000  top
D18       YELLOW            D_0603_1608Metric                     125.4760   -78.1063   90.0000  top
