Designator,Mid X,Mid Y,Layer,Rotation
C1,158.115mmmm,-73.66mm,Top,90
C2,137.085mm,-73.78mm,Top,-90
C3,149.5662mm,-73.6341mm,Top,0
C4,145.0219mm,-73.7106mm,Top,180
C5,163.195mm,-57.785mm,Top,90
C6,157.0217mm,-68.1118mm,Top,0
C7,146.6195mm,-68.1004mm,Top,0
C8,136.48mm,-68.1004mm,Top,0
C9,152.3403mm,-65.4448mm,Top,90
C10,142.0007mm,-65.3255mm,Top,90
C11,131.445mm,-64.77mm,Top,90
D1,137.795mm,-116.84mm,Top,-90
D2,153.035mm,-116.84mm,Top,-90
D3,154.94mm,-116.84mm,Top,-90
D4,151.13mm,-116.84mm,Top,-90
D5,149.225mm,-116.84mm,Top,-90
D6,147.32mm,-116.84mm,Top,-90
D7,145.415mm,-116.84mm,Top,-90
D8,143.51mm,-116.84mm,Top,-90
D9,141.605mm,-116.84mm,Top,-90
D10,139.7mm,-116.84mm,Top,-90
D11,186.944mm,-145.288mm,Top,90
D12,149.86mm,-81.915mm,Top,90
D13,144.78mm,-81.915mm,Top,90
D14,157.0391mm,-65.405mm,Top,180
D15,146.685mm,-65.405mm,Top,180
D16,136.525mm,-65.405mm,Top,180
D17,122.9385mm,-78.105mm,Top,90
D18,125.476mm,-78.1063mm,Top,90
D19,128.016mm,-78.105mm,Top,90
Q1,137.795mm,-106.68mm,Top,-90
Q2,158.115mm,-97.155mm,Top,-90
Q3,153.035mm,-97.155mm,Top,-90
Q4,147.955mm,-97.155mm,Top,-90
Q5,142.875mm,-97.155mm,Top,-90
Q6,137.795mm,-97.155mm,Top,-90
Q7,158.115mm,-106.68mm,Top,-90
Q8,153.035mm,-106.68mm,Top,-90
Q9,147.955mm,-106.68mm,Top,-90
Q10,142.875mm,-106.68mm,Top,-90
Q11,184.912mm,-140.716mm,Top,180
Q12,179.324mm,-141.224mm,Top,180
Q13,153.035mm,-83.82mm,Top,90
Q14,141.605mm,-83.82mm,Top,-90
R1,137.795mm,-103.505mm,Top,180
R2,137.795mm,-113.665mm,Top,90
R3,158.115mm,-93.98mm,Top,180
R4,153.035mm,-113.665mm,Top,90
R5,153.035mm,-93.98mm,Top,180
R6,154.94mm,-113.665mm,Top,90
R7,147.955mm,-93.98mm,Top,180
R8,151.13mm,-113.665mm,Top,90
R9,142.875mm,-93.98mm,Top,180
R10,149.225mm,-113.665mm,Top,90
R11,137.795mm,-93.98mm,Top,180
R12,173.99mm,-68.58mm,Top,-90
R13,147.32mm,-113.665mm,Top,90
R14,161.29mm,-69.85mm,Top,-90
R15,158.115mm,-103.505mm,Top,180
R16,173.99mm,-75.565mm,Top,-90
R17,145.415mm,-113.665mm,Top,90
R18,161.29mm,-76.835mm,Top,-90
R19,153.035mm,-103.505mm,Top,180
R20,172.72mm,-87.884mm,Top,-90
R21,143.51mm,-113.665mm,Top,90
R22,172.72mm,-84.328mm,Top,90
R23,162.56mm,-84.836mm,Top,90
R24,162.56mm,-88.392mm,Top,-90
R25,147.955mm,-103.505mm,Top,180
R26,172.72mm,-98.044mm,Top,-90
R27,141.605mm,-113.665mm,Top,90
R28,172.72mm,-94.488mm,Top,90
R29,142.875mm,-103.505mm,Top,180
R30,172.72mm,-105.156mm,Top,90
R31,172.72mm,-119.38mm,Top,-90
R32,139.7mm,-113.665mm,Top,90
R33,172.72mm,-108.712mm,Top,-90
R34,172.72mm,-115.824mm,Top,90
R35,160.02mm,-73.66mm,Top,90
R36,136.525mm,-71.12mm,Top,180
R37,162.9407mm,-109.22mm,Top,-90
R38,153.67mm,-76.835mm,Top,180
R39,141.605mm,-76.835mm,Top,0
R40,162.9355mm,-105.5535mm,Top,90
R41,183.896mm,-145.288mm,Top,90
R42,185.42mm,-136.652mm,Top,-90
R43,149.86mm,-85.725mm,Top,-90
R44,153.67mm,-78.74mm,Top,0
R45,140.97mm,-78.74mm,Top,180
R46,140.97mm,-80.645mm,Top,180
R47,182.372mm,-136.652mm,Top,-90
R48,178.816mm,-145.796mm,Top,90
R49,153.67mm,-80.645mm,Top,0
R50,144.78mm,-85.725mm,Top,-90
R51,122.9618mm,-81.28mm,Top,-90
R52,125.476mm,-81.28mm,Top,-90
R53,128.016mm,-81.28mm,Top,-90
RV1,154.305mm,-73.66mm,Top,90
RV2,140.59mm,-73.65mm,Top,-90
U2,147.32mm,-77.47mm,Top,180
