"ARM,Advanced RISC Machines Ltd."
"ORCA,On-water Rubbish Collection robot with Automated sensing"
"RF,Radio Frequency"
"SMT,Surface Mount Technology"
"THT,Through Hole Technology"
"RTOS,Real Time Operating System"
"BLDCM,Brushless DC Motor"
"DC,Direct Current"
"PCB,Printed Circuit Board"
"IDE,Intergrated Development Environment"
"RC,Radio Controlled"
"SPI,Serial Parallel Interface"
"IRQ,Interrupt Request"
"ESC,Electronic Speed Controller"
"PWM, Pulse Width Modulation"
"Li-Po, Lithium Polimer"
"Li-Ion, Litium Ion"
